,density,init_fire,reborn_tree,Run,Burned Out,Fine,Fire,height,width
120,0.5,10,50,120,0,5005,0,100,100
121,0.5,10,50,121,0,4988,0,100,100
122,0.5,10,50,122,484,4465,77,100,100
123,0.5,10,50,123,0,4898,0,100,100
124,0.5,10,50,124,504,4393,73,100,100
125,0.5,10,50,125,0,4931,0,100,100
126,0.5,10,50,126,0,5022,0,100,100
127,0.5,10,50,127,0,4969,0,100,100
128,0.5,10,50,128,0,4998,0,100,100
129,0.5,10,50,129,480,4542,64,100,100
130,0.5,10,50,130,527,4351,65,100,100
131,0.5,10,50,131,304,4676,54,100,100
132,0.5,10,50,132,577,4351,82,100,100
133,0.5,10,50,133,477,4380,87,100,100
134,0.5,10,50,134,0,5035,0,100,100
135,0.5,10,50,135,508,4462,53,100,100
136,0.5,10,50,136,0,4956,0,100,100
137,0.5,10,50,137,430,4442,63,100,100
138,0.5,10,50,138,465,4451,47,100,100
139,0.5,10,50,139,181,4816,20,100,100
140,0.5,10,50,140,0,4959,0,100,100
141,0.5,10,50,141,389,4587,73,100,100
142,0.5,10,50,142,0,4972,0,100,100
143,0.5,10,50,143,432,4538,61,100,100
144,0.5,10,50,144,399,4539,51,100,100
145,0.5,10,50,145,615,4292,90,100,100
146,0.5,10,50,146,0,4968,0,100,100
147,0.5,10,50,147,0,4994,0,100,100
148,0.5,10,50,148,335,4653,60,100,100
149,0.5,10,50,149,0,4970,0,100,100
150,0.5,10,50,150,648,4246,86,100,100
151,0.5,10,50,151,456,4590,55,100,100
152,0.5,10,50,152,0,4949,0,100,100
153,0.5,10,50,153,795,4131,76,100,100
154,0.5,10,50,154,473,4500,81,100,100
155,0.5,10,50,155,0,5024,0,100,100
156,0.5,10,50,156,0,4991,0,100,100
157,0.5,10,50,157,573,4367,80,100,100
158,0.5,10,50,158,0,5088,0,100,100
159,0.5,10,50,159,0,5042,0,100,100
160,0.5,10,50,160,473,4513,65,100,100
161,0.5,10,50,161,0,5029,0,100,100
162,0.5,10,50,162,0,5012,0,100,100
163,0.5,10,50,163,312,4662,45,100,100
164,0.5,10,50,164,514,4434,51,100,100
165,0.5,10,50,165,0,4928,0,100,100
166,0.5,10,50,166,382,4563,62,100,100
167,0.5,10,50,167,0,5011,0,100,100
168,0.5,10,50,168,490,4430,59,100,100
169,0.5,10,50,169,0,5006,0,100,100
170,0.5,10,50,170,0,4948,0,100,100
171,0.5,10,50,171,775,4146,77,100,100
172,0.5,10,50,172,0,5053,0,100,100
173,0.5,10,50,173,259,4701,33,100,100
174,0.5,10,50,174,717,4202,104,100,100
175,0.5,10,50,175,821,4068,127,100,100
176,0.5,10,50,176,375,4579,50,100,100
177,0.5,10,50,177,781,4159,81,100,100
178,0.5,10,50,178,0,5031,0,100,100
179,0.5,10,50,179,0,4927,0,100,100
180,0.5,10,50,180,684,4290,71,100,100
181,0.5,10,50,181,0,4954,0,100,100
182,0.5,10,50,182,420,4525,61,100,100
183,0.5,10,50,183,0,4978,0,100,100
184,0.5,10,50,184,0,5096,0,100,100
185,0.5,10,50,185,0,4924,0,100,100
186,0.5,10,50,186,337,4575,44,100,100
187,0.5,10,50,187,495,4432,42,100,100
188,0.5,10,50,188,686,4186,53,100,100
189,0.5,10,50,189,567,4387,46,100,100
190,0.5,10,50,190,0,5113,0,100,100
191,0.5,10,50,191,542,4321,64,100,100
192,0.5,10,50,192,701,4209,85,100,100
193,0.5,10,50,193,0,5065,0,100,100
194,0.5,10,50,194,0,4931,0,100,100
195,0.5,10,50,195,0,4964,0,100,100
196,0.5,10,50,196,0,4972,0,100,100
197,0.5,10,50,197,589,4420,63,100,100
198,0.5,10,50,198,0,5020,0,100,100
199,0.5,10,50,199,593,4355,64,100,100
200,0.5,10,80,200,305,4611,36,100,100
201,0.5,10,80,201,485,4423,74,100,100
202,0.5,10,80,202,0,5057,0,100,100
203,0.5,10,80,203,327,4660,41,100,100
204,0.5,10,80,204,596,4385,73,100,100
205,0.5,10,80,205,536,4404,63,100,100
206,0.5,10,80,206,363,4613,41,100,100
207,0.5,10,80,207,367,4558,40,100,100
208,0.5,10,80,208,0,5002,0,100,100
209,0.5,10,80,209,543,4427,60,100,100
210,0.5,10,80,210,246,4785,30,100,100
211,0.5,10,80,211,404,4495,47,100,100
212,0.5,10,80,212,0,5065,0,100,100
213,0.5,10,80,213,0,5022,0,100,100
214,0.5,10,80,214,799,4246,66,100,100
215,0.5,10,80,215,0,4951,0,100,100
216,0.5,10,80,216,841,4065,82,100,100
217,0.5,10,80,217,541,4438,71,100,100
218,0.5,10,80,218,0,5003,0,100,100
219,0.5,10,80,219,229,4773,26,100,100
220,0.5,10,80,220,0,5039,0,100,100
221,0.5,10,80,221,542,4431,70,100,100
222,0.5,10,80,222,788,4080,99,100,100
223,0.5,10,80,223,0,4991,0,100,100
224,0.5,10,80,224,397,4593,52,100,100
225,0.5,10,80,225,517,4493,50,100,100
226,0.5,10,80,226,0,5039,0,100,100
227,0.5,10,80,227,0,5066,0,100,100
228,0.5,10,80,228,0,5088,0,100,100
229,0.5,10,80,229,511,4423,79,100,100
230,0.5,10,80,230,0,4971,0,100,100
231,0.5,10,80,231,478,4488,68,100,100
232,0.5,10,80,232,487,4454,66,100,100
233,0.5,10,80,233,727,4358,56,100,100
234,0.5,10,80,234,507,4389,75,100,100
235,0.5,10,80,235,558,4353,83,100,100
236,0.5,10,80,236,171,4843,26,100,100
237,0.5,10,80,237,285,4761,25,100,100
238,0.5,10,80,238,446,4470,63,100,100
239,0.5,10,80,239,647,4374,67,100,100
240,0.5,10,80,240,427,4495,48,100,100
241,0.5,10,80,241,0,5120,0,100,100
242,0.5,10,80,242,0,4981,0,100,100
243,0.5,10,80,243,0,5052,0,100,100
244,0.5,10,80,244,0,5006,0,100,100
245,0.5,10,80,245,460,4491,55,100,100
246,0.5,10,80,246,0,4986,0,100,100
247,0.5,10,80,247,590,4279,91,100,100
248,0.5,10,80,248,0,5072,0,100,100
249,0.5,10,80,249,330,4627,31,100,100
250,0.5,10,80,250,670,4280,85,100,100
251,0.5,10,80,251,0,4953,0,100,100
252,0.5,10,80,252,728,4237,76,100,100
253,0.5,10,80,253,565,4299,56,100,100
254,0.5,10,80,254,0,5056,0,100,100
255,0.5,10,80,255,0,4950,0,100,100
256,0.5,10,80,256,645,4198,69,100,100
257,0.5,10,80,257,0,4942,0,100,100
258,0.5,10,80,258,0,4981,0,100,100
259,0.5,10,80,259,0,4899,0,100,100
260,0.5,10,80,260,568,4385,60,100,100
261,0.5,10,80,261,529,4414,70,100,100
